State,Total(1),,,,Construction,,,,Manufacturing,,,,,https://www.bls.gov/news.release/laus.t03.htm
,"Jan.
2019","Nov.
2019","Dec.
2019","Jan.
2020(P)","Jan.
2019","Nov.
2019","Dec.
2019","Jan.
2020(P)","Jan.
2019","Nov.
2019","Dec.
2019","Jan.
2020(P)",,
Alabama,"2,066.30","2,079.50","2,085.30","2,080.30",91.7,94.3,95.5,94.2,269.2,268.7,268.7,269.2,,
Alaska,329.3,329.6,329.5,328.5,16.5,16.2,16.6,16.8,12.6,12.3,12.1,10.9,,
Arizona,"2,908.50","2,971.80","2,978.40","2,982.10",166.2,173.2,174.2,174.3,175.3,178.3,177.8,178,,
Arkansas,"1,279.30","1,277.90","1,281.80","1,282.20",52.3,52.6,52.1,53.4,162.9,162.1,161.9,160.7,,
California,"17,324.00","17,528.10","17,554.40","17,575.80",869.5,887.6,889.3,886.9,"1,326.30","1,321.40","1,321.70","1,320.80",,
,,,,,,,,,,,,,,
Colorado,"2,760.90","2,808.90","2,813.50","2,814.80",176.5,179.6,181.1,182.5,149.5,149.6,150.1,150.7,,
Connecticut,"1,688.30","1,692.50","1,693.50","1,696.10",60,60,60.5,59.8,161.8,162.3,161.2,161.3,,
Delaware(2),464.9,466.9,465.9,468.4,23.3,22.8,22.5,23.1,27.4,27.1,27,27.1,,
District of Columbia(2),794.3,803.4,802,802.1,15.1,14.7,14.7,14.7,1.3,1.4,1.4,1.3,,
Florida,"8,888.70","9,006.70","9,031.40","9,066.10",558.2,573.7,576.1,579.7,380.8,388.8,388.4,388.7,,
,,,,,,,,,,,,,,
Georgia,"4,596.80","4,638.70","4,640.10","4,649.90",201.9,204.4,204.1,205.3,406.3,403.9,403.3,403.4,,
Hawaii(2),657.8,657.7,659.6,659.3,37.2,37.2,37.3,36.8,14.3,13.9,14,14,,
Idaho,751.3,764.8,769.1,770,51.8,53.4,53.7,54.1,69,67.3,67.5,67.8,,
Illinois,"6,124.70","6,105.20","6,117.20","6,133.80",228.2,222.3,223.1,225.8,590.9,578.7,577.8,577,,
Indiana,"3,179.20","3,160.80","3,163.00","3,171.30",147.6,147,148,149.6,545.1,539.1,539.5,534.7,,
