Date,Jobless Claims,,,,,,Macrotrends Data Download
1/1/67,204000,,,,,,
2/1/67,242000,,,,,,Initial Jobless Claims Historical Chart
3/1/67,247000,,,,,,
4/1/67,255000,,,,,,"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY"
5/1/67,228000,,,,,,FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
6/1/67,218000,,,,,,NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
7/1/67,209000,,,,,,FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.
8/1/67,213000,,,,,,
9/1/67,204000,,,,,,
10/1/67,207000,,,,,,
11/1/67,191000,,,,,,"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
12/1/67,216000,,,,,,"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."
1/1/68,198000,,,,,,
2/1/68,193000,,,,,,
3/1/68,192000,,,,,,
4/1/68,251000,,,,,,
5/1/68,194000,,,,,,
6/1/68,194000,,,,,,
7/1/68,205000,,,,,,
8/1/68,188000,,,,,,
9/1/68,189000,,,,,,
10/1/68,182000,,,,,,
11/1/68,162000,,,,,,
12/1/68,223000,,,,,,
1/1/69,193000,,,,,,
2/1/69,192000,,,,,,
3/1/69,183000,,,,,,
4/1/69,177000,,,,,,
5/1/69,187000,,,,,,
6/1/69,203000,,,,,,
7/1/69,192000,,,,,,
8/1/69,195000,,,,,,
9/1/69,193000,,,,,,
10/1/69,205000,,,,,,
11/1/69,202000,,,,,,
12/1/69,223000,,,,,,
1/1/70,239000,,,,,,
2/1/70,242000,,,,,,
3/1/70,276000,,,,,,
4/1/70,349000,,,,,,
5/1/70,301000,,,,,,
6/1/70,291000,,,,,,
7/1/70,287000,,,,,,
8/1/70,297000,,,,,,
9/1/70,333000,,,,,,
10/1/70,327000,,,,,,
11/1/70,337000,,,,,,
12/1/70,321000,,,,,,
1/1/71,292000,,,,,,
2/1/71,290000,,,,,,
3/1/71,300000,,,,,,
4/1/71,288000,,,,,,
5/1/71,299000,,,,,,
6/1/71,291000,,,,,,
7/1/71,308000,,,,,,
8/1/71,307000,,,,,,
9/1/71,308000,,,,,,
10/1/71,283000,,,,,,
11/1/71,278000,,,,,,
12/1/71,244000,,,,,,
1/1/72,269000,,,,,,
2/1/72,254000,,,,,,
3/1/72,264000,,,,,,
4/1/72,265000,,,,,,
5/1/72,267000,,,,,,
6/1/72,286000,,,,,,
7/1/72,247000,,,,,,
8/1/72,262000,,,,,,
9/1/72,251000,,,,,,
10/1/72,234000,,,,,,
11/1/72,235000,,,,,,
12/1/72,225000,,,,,,
1/1/73,214000,,,,,,
2/1/73,218000,,,,,,
3/1/73,222000,,,,,,
4/1/73,236000,,,,,,
5/1/73,238000,,,,,,
6/1/73,237000,,,,,,
7/1/73,250000,,,,,,
8/1/73,254000,,,,,,
9/1/73,249000,,,,,,
10/1/73,235000,,,,,,
11/1/73,233000,,,,,,
12/1/73,300000,,,,,,
1/1/74,291000,,,,,,
2/1/74,292000,,,,,,
3/1/74,323000,,,,,,
4/1/74,283000,,,,,,
5/1/74,309000,,,,,,
